Category ID	1	448	20150213
Category ID	2	24	20150213
Category ID	7	5	20150213
Category ID	8	18	20150213
Category ID	10	42	20150213
Category ID	11	55	20150213
Category ID	21	378	20150213
Category ID	22	197	20150213
Category ID	24	126	20150213
Category ID	26	390	20150213
Category ID	27	480	20150213
Category ID	62	427	20150213
Category ID	68	397	20150213
Category ID	69	88	20150213
Category ID	70	11	20150213
Category ID	74	177	20150213
Category ID	78	402	20150213
Category ID	104	300	20150213
Category ID	106	311	20150213
Category ID	107	4	20150213
Category ID	108	56	20150213
Category ID	109	137	20150213
Category ID	111	201	20150213
Category ID	113	50	20150213
Category ID	114	92	20150213
Category ID	115	122	20150213
Category ID	116	112	20150213
Category ID	117	975	20150213
Category ID	119	13	20150213
Category ID	121	328	20150213
Category ID	122	28	20150213
Category ID	127	41	20150213
Category ID	128	51	20150213
Category ID	129	5	20150213
Category ID	131	1097	20150213
Category ID	133	557	20150213
Category ID	134	98	20150213
Category ID	136	2	20150213
Category ID	139	19	20150213
Category ID	141	850	20150213
Category ID	142	8	20150213
Category ID	143	1	20150213
Category ID	144	362	20150213
Category ID	145	22	20150213
Category ID	146	570	20150213
Category ID	147	13	20150213
Category ID	148	718	20150213
Category ID	149	11	20150213
Category ID	151	68	20150213
Category ID	152	14	20150213
Category ID	153	19	20150213
Category ID	154	12	20150213
Category ID	156	31	20150213
Category ID	157	1	20150213
Category ID	158	140	20150213
Category ID	160	183	20150213
Category ID	161	33	20150213
Category ID	162	7	20150213
Category ID	163	1253	20150213
Category ID	164	1897	20150213
Category ID	167	1370	20150213
Category ID	168	1711	20150213
Category ID	169	999	20150213
Category ID	170	462	20150213
Category ID	171	1	20150213
Category ID	174	54	20150213
Category ID	176	21	20150213
Category ID	177	38	20150213
Category ID	178	28	20150213
Category ID	179	2	20150213
Category ID	180	142	20150213
Category ID	181	508	20150213
Category ID	183	1	20150213
Category ID	185	12	20150213
Category ID	186	7	20150213
Category ID	187	195	20150213
Category ID	190	24	20150213
Category ID	191	1336	20150213
Category ID	192	1	20150213
Category ID	193	49	20150213
Category ID	194	1364	20150213
Category ID	197	19	20150213
Category ID	198	17	20150213
Category ID	199	1416	20150213
Category ID	200	28	20150213
Category ID	201	86	20150213
Category ID	202	119	20150213
Category ID	203	67	20150213
Category ID	204	56	20150213
Category ID	205	96	20150213
Category ID	209	139	20150213
Category ID	210	1038	20150213
Category ID	211	1910	20150213
Category ID	213	12	20150213
Category ID	214	42	20150213
Category ID	215	9	20150213
Category ID	216	9	20150213
Category ID	401	6	20150213
Category ID	402	1	20150213
Category ID	404	33	20150213
Category ID	405	277	20150213
Category ID	406	552	20150213
Category ID	407	743	20150213
Category ID	408	1460	20150213
Category ID	409	4	20150213
Category ID	410	41	20150213
Category ID	411	179	20150213
Category ID	412	8	20150213
Category ID	413	52	20150213
Category ID	414	337	20150213
Category ID	415	513	20150213
